log_id,date_bogota,category,title,cause_event_consequence,probability,impact,owner,trigger_or_evidence,response_or_decision,contingency,status
"CTL-001","2026-08-26","DECISION","Use hybrid delivery","Stable deadline and gates coexist with visual/content uncertainty","n/a","high","Codex","PMBOK tailoring","Predictive gates plus adaptive implementation and feedback","Reassess at every gate","ACTIVE"
"CTL-002","2026-08-26","ISSUE","No approved visual target","Three materially different mockups exist and later evidence keeps acceptance conditional","occurred","high","Luis","Puntos pp.1-2 and visual audit","Ask Luis to select; recommend 5:38:50 home plus 5:19:36 listing/detail","Continue nonvisual work only until selection","OPEN"
"CTL-003","2026-08-26","CONTRADICTION","Burgundy versus gold branding","Brief specifies burgundy while later meeting/mockups request gold apple on black","n/a","high","Luis","Brief pp.1,4; meeting pp.24-25","Escalate visual token decision","Keep tokens reversible","OPEN"
"CTL-004","2026-08-26","RISK","Deadline capacity gap","If production CMS/content/legal remain in scope then 130-215 h exceeds 57.6 h pre-QA capacity causing incomplete or unsafe release","high","critical","Codex/Luis","less than 72 h remain","Alert red; prioritize vertical frontend and local CMS contract; protect 20% QA reserve","Increase capacity/date or accept explicit exceptions","ACTIVE"
"CTL-005","2026-08-26","ISSUE","Missing real content and rights","No approved profiles/media/consents/legal copy/channel destinations are present","occurred","critical","Luis","source inventory","Do not create public or preview profiles; restrict synthetic records to automated tests and block publication","Load real records only after documented approvals","OPEN"
"CTL-006","2026-08-26","RISK","CMS persistence and media infrastructure undecided","If DB/auth/object storage remain undefined then secure multiuser CMS and upload cannot be proven","high","critical","Luis/Nelson","no provider or credentials","Implement contracts/local proof and document provider gates","Select provider and run staging UAT","ACTIVE"
"CTL-007","2026-08-26","DECISION","Preserve existing implementation","Clean repo at 013307a contains Madrid/Barcelona landings but not full requested product","n/a","medium","Codex","Git audit","Create independent clones and do not edit source repo","Rollback to 013307a","CLOSED"
"CTL-008","2026-08-26","ISSUE","AppData dependency links virtualized","Sandbox redirected pnpm paths in external clone and broke executable resolution","occurred","medium","Codex","lint module-not-found despite files","Use isolated workspace clone for build; keep AppData snapshot for recovery and mirror validated release","Reinstall dependencies at final location before smoke","MITIGATED"
"CTL-009","2026-08-26","RISK","Legal/privacy noncompliance","If third-party legal text or unverified adult imagery is published then copyright privacy consent or age risks may materialize","medium","critical","Luis/Legal","Felina cited only as reference; no rights package","Publish no profile/person media or legal copy pending approval and evidence","Keep profiles/media absent and analytics disabled","ACTIVE"
"CTL-010","2026-08-26","DECISION","No external deployment","GitHub checkpoint publication was later authorized but merge hosting and production remain unauthorized","n/a","high","Codex","scope boundary plus CTL-011","Keep PR draft; do not merge host publish or deploy","Request separate authorization for any further external action","ACTIVE"
"CTL-011","2026-08-26","CHANGE","GitHub checkpoint authorized","User explicitly authorized GitHub publication despite non-operational state","occurred","medium","Codex","direct user instruction","Created private Artoto45/pecadosvip-web-delivery and draft PR 1 from codex/pagina-web-checkpoint","Keep PR draft and do not merge or deploy without separate authority","CLOSED"
"CTL-012","2026-08-26","ISSUE","Integrated security scan unavailable","Standard scan failed on a nested dependency sourcemap and diff scan could not resolve the worktree","occurred","medium","Codex","scanner errors recorded in session","Ran scoped high-confidence secret pattern review over commit candidates; zero matches; disclose incomplete security coverage","Repeat supported scan before production release","OPEN"
"CTL-013","2026-08-27","DECISION","CMS domain contract is not an operational CMS","Auth DB object storage and admin UI remain undecided while lifecycle safety can be verified locally","n/a","high","Codex/Luis","28 contract tests and two repository audits","Implemented a fail-closed in-memory repository with runtime roles optimistic revisions replay protection soft delete aggregate publication validation and audit; explicitly label it local-only","Select infrastructure and run authenticated staging UAT before any operational claim","ACTIVE"
"CTL-014","2026-08-27","DECISION","Public profile projection remains a domain contract","Visual selection profile content and an HTTP route are unavailable while exposure controls can be verified locally","n/a","high","Codex/Luis","36 contract tests and ARCHITECTURE.md","Implemented strict URL parsing release-gated filters pagination and safe card/detail DTOs that omit internal IDs approvals evidence and rights metadata; explicitly label UI and route integration absent","Select visual target and supply approved records before route and browser integration","ACTIVE"
"CTL-015","2026-08-27","DECISION","Reference observation does not authorize cloning or mass SEO pages","Only one of three supplied web references was safely readable and it materially differs by operating a physical venue","n/a","high","Codex/Luis","REFERENCE_RESEARCH.md and official Google guidance","Reuse only general information architecture patterns; exclude venue content and keep local pages out of the manifest without coverage demand and unique value","Resolve two share links and approve coverage plus keyword data source","ACTIVE"
"CTL-016","2026-08-27","DECISION","Analytics contract is not analytics operation","A privacy-preserving event boundary can be verified without selecting or activating a tracking provider","n/a","high","Codex/Luis","MEASUREMENT_SPEC.md and 46 contract tests","Keep analytics disabled unless enabled plus own granted consent; snapshot untrusted input once; reject unknown properties and contact/profile PII; do not emit consent changes as analytics","Select CMP/provider and complete legal plus network validation before activation","ACTIVE"
"CTL-017","2026-08-27","ISSUE","Human decision package remains incomplete","Visual brand profile rights coverage channels legal infrastructure QA browser and release authority are material inputs not present in the sources","occurred","critical","Luis","DECISIONS_REQUIRED.md and LEGAL_INPUTS_REQUIRED.md","Consolidated exact P0/P1 inputs and preserved fail-closed publication; do not infer or fabricate answers","Luis supplies a versioned decision/evidence package; Codex resumes affected gates","OPEN"
